run_id,scenario,time_s,ego_speed_mps,ego_lane_offset_m,obstacle_distance_m,obstacle_lateral_offset_m,obstacle_speed_mps,braking,collision,intervention
run_001,badly_parked_pull_in,0,13.4,0.03,38.0,1.85,0.0,false,false,false
run_001,badly_parked_pull_in,1,13.2,0.04,25.0,1.55,0.8,false,false,false
run_001,badly_parked_pull_in,2,12.4,0.10,14.2,1.05,1.6,true,false,false
run_001,badly_parked_pull_in,3,8.8,0.18,8.1,0.55,2.2,true,false,false
run_001,badly_parked_pull_in,4,5.5,0.16,6.4,0.25,2.0,false,false,false
run_002,badly_parked_pull_in,0,14.1,0.02,32.5,1.90,0.0,false,false,false
run_002,badly_parked_pull_in,1,14.0,0.05,19.3,1.35,1.9,false,false,false
run_002,badly_parked_pull_in,2,13.2,0.45,8.4,0.75,2.8,true,false,true
run_002,badly_parked_pull_in,3,11.1,0.92,3.6,0.24,2.4,true,false,true
run_002,badly_parked_pull_in,4,7.2,0.70,2.8,0.18,1.2,false,false,false
run_003,badly_parked_pull_in,0,12.8,0.01,40.0,2.10,0.0,false,false,false
run_003,badly_parked_pull_in,1,12.7,0.03,29.5,2.00,0.4,false,false,false
run_003,badly_parked_pull_in,2,12.2,0.06,18.2,1.70,0.8,false,false,false
run_003,badly_parked_pull_in,3,11.4,0.08,10.0,1.35,1.0,true,false,false
run_003,badly_parked_pull_in,4,8.0,0.10,7.8,1.10,0.5,false,false,false
run_004,badly_parked_pull_in,0,15.0,0.04,28.0,1.75,0.0,false,false,false
run_004,badly_parked_pull_in,1,15.1,0.12,14.5,1.10,2.0,false,false,false
run_004,badly_parked_pull_in,2,14.4,0.84,5.2,0.42,3.4,true,false,true
run_004,badly_parked_pull_in,3,12.2,1.18,1.1,0.10,2.8,true,true,true
run_004,badly_parked_pull_in,4,0.0,1.18,0.0,0.0,0.0,false,true,true
run_005,badly_parked_pull_in,0,10.8,0.02,36.0,1.60,0.0,false,false,false
run_005,badly_parked_pull_in,1,10.5,0.02,26.8,1.35,0.7,false,false,false
run_005,badly_parked_pull_in,2,9.8,0.05,18.0,1.20,1.1,false,false,false
run_005,badly_parked_pull_in,3,7.6,0.06,12.5,0.95,1.2,true,false,false
run_005,badly_parked_pull_in,4,5.4,0.05,10.2,0.80,0.8,false,false,false
